ID,municipi,participacio,sisi,sino,siblanc,no,blanc,altres,vots,poblacio
171997,Torroella de Montgrí,44.03%,91.19%,3.35%,0.48%,1.59%,0.80%,2.58%,4145,9414
172001,Tortellà,66.31%,86.73%,3.43%,2.52%,2.06%,1.60%,3.66%,437,659
172018,Toses,51.54%,94.03%,2.99%,0.00%,0.00%,1.49%,1.49%,67,130
172023,Tossa de Mar,36.07%,84.28%,5.15%,1.64%,4.49%,0.49%,3.94%,1826,5062
172039,Ultramort,63.79%,96.40%,1.80%,0.00%,1.80%,0.00%,0.00%,111,174
172044,Ullà,37.63%,87.04%,3.09%,0.93%,2.47%,0.93%,5.56%,324,861
172057,Ullastret,73.78%,93.37%,3.61%,1.20%,0.60%,0.60%,0.60%,166,225
172060,Urús,55.00%,86.36%,2.27%,7.95%,1.14%,2.27%,0.00%,88,160
172076,Vall d'en Bas. la,71.07%,93.36%,2.39%,1.02%,0.97%,0.57%,1.70%,1761,2478
172082,Vall de Bianya. la,62.74%,94.13%,3.08%,0.73%,0.15%,0.44%,1.47%,682,1087
172095,Vall-llobrega,51.20%,89.53%,6.34%,1.38%,1.38%,0.00%,1.38%,363,709
172109,Ventalló,48.44%,92.66%,3.36%,0.31%,0.61%,0.31%,2.75%,327,675
172116,Verges,64.22%,91.45%,3.36%,0.76%,1.53%,1.07%,1.83%,655,1020
172121,Vidrà,82.27%,92.24%,0.00%,0.86%,2.59%,1.72%,2.59%,116,141
172137,Vidreres,41.64%,86.24%,5.07%,1.11%,3.77%,0.50%,3.32%,2624,6302
172142,Vilabertran,57.01%,91.12%,2.73%,1.14%,1.37%,0.68%,2.96%,439,770
172155,Vilablareix,62.94%,88.56%,5.80%,0.70%,2.32%,0.62%,2.01%,1294,2056
172168,Viladasens,74.05%,89.78%,3.65%,0.73%,2.92%,1.46%,1.46%,137,185
172174,Viladamat,66.92%,92.83%,1.89%,0.75%,1.13%,1.13%,2.26%,265,396
172180,Vilademuls,63.13%,94.33%,2.60%,0.00%,0.47%,0.47%,2.13%,423,670
172207,Viladrau,64.74%,93.47%,2.75%,0.52%,1.03%,0.00%,2.23%,582,899
172214,Vilafant,43.47%,83.92%,6.73%,0.87%,4.88%,0.51%,3.08%,1947,4479
172229,Vilaür,62.28%,90.14%,4.23%,0.00%,1.41%,0.00%,4.23%,71,114
172235,Vilajuïga,47.56%,78.63%,6.62%,1.71%,7.05%,0.85%,5.13%,468,984
