ID,municipi,participacio,sisi,sino,siblanc,no,blanc,altres,vots,poblacio
431397,Santa Coloma de Queralt,60.34%,88.97%,3.91%,0.96%,1.23%,0.07%,4.87%,1459,2418
431401,Santa Oliva,27.24%,81.13%,6.34%,1.38%,6.06%,0.00%,5.10%,726,2665
431418,Pontils,35.90%,90.48%,2.38%,0.00%,7.14%,0.00%,0.00%,42,117
431423,Sarral,53.57%,87.48%,4.13%,1.24%,3.99%,0.96%,2.20%,727,1357
431439,Savallà del Comtat,55.74%,88.24%,5.88%,0.00%,0.00%,5.88%,0.00%,34,61
431444,Secuita. la,47.87%,84.87%,7.18%,1.09%,3.90%,0.78%,2.18%,641,1339
431457,Selva del Camp. la,49.77%,85.69%,6.58%,1.51%,2.58%,0.80%,2.84%,2250,4521
431460,Senan,43.75%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21,48
431476,Solivella,71.35%,93.69%,2.27%,0.51%,0.51%,1.52%,1.52%,396,555
431482,Tarragona,27.46%,77.57%,10.74%,0.97%,7.07%,0.50%,3.16%,30341,110504
431495,Tivenys,49.87%,82.17%,7.24%,2.58%,4.91%,1.55%,1.55%,387,776
431508,Tivissa,47.76%,88.64%,5.15%,0.79%,2.91%,0.79%,1.72%,757,1585
431515,Torre de Fontaubella. la,66.67%,93.42%,0.00%,3.95%,1.32%,1.32%,0.00%,76,114
431520,Torre de l'Espanyol. la,56.72%,87.54%,4.26%,1.82%,3.34%,0.61%,2.43%,329,580
431536,Torredembarra,30.85%,81.46%,8.27%,0.89%,6.00%,0.33%,3.05%,3932,12746
431541,Torroja del Priorat,60.39%,87.10%,0.00%,4.30%,1.08%,1.08%,6.45%,93,154
431554,Tortosa,37.27%,84.01%,7.87%,0.71%,4.08%,0.69%,2.64%,10589,28413
431567,Ulldecona,31.25%,82.42%,6.94%,1.91%,4.29%,0.74%,3.71%,1888,6041
431573,Ulldemolins,66.42%,90.57%,4.15%,1.13%,2.64%,0.00%,1.51%,265,399
431589,Vallclara,59.18%,91.38%,5.17%,0.00%,0.00%,1.72%,1.72%,58,98
431592,Vallfogona de Riucorb,50.00%,92.86%,0.00%,1.79%,3.57%,1.79%,0.00%,56,112
431606,Vallmoll,37.28%,81.92%,6.35%,1.15%,5.77%,0.38%,4.42%,520,1395
431613,Valls,44.90%,87.47%,5.08%,0.91%,3.07%,0.59%,2.88%,9119,20309
431628,Vandellòs i l'Hospitalet de l'Infant,34.70%,77.37%,10.56%,1.39%,7.08%,0.81%,2.79%,1723,4965
431634,Vendrell. el,26.38%,80.77%,9.48%,0.85%,4.48%,0.54%,3.87%,7899,29948
431649,Vespella de Gaià,28.24%,78.57%,9.18%,4.08%,7.14%,0.00%,1.02%,98,347
431652,Vilabella,67.67%,93.23%,1.27%,0.63%,2.54%,0.63%,1.69%,473,699
431665,Vilallonga del Camp,39.76%,80.91%,8.06%,1.84%,6.08%,0.99%,2.12%,707,1778
431671,Vilanova d'Escornalbou,54.89%,88.37%,3.88%,2.33%,3.10%,0.00%,2.33%,258,470
431687,Vilanova de Prades,56.14%,90.63%,3.13%,4.69%,1.56%,0.00%,0.00%,64,114
431690,Vilaplana,59.86%,93.11%,2.69%,1.20%,0.90%,0.00%,2.10%,334,558
431704,Vila-rodona,51.68%,89.20%,3.91%,1.30%,1.12%,0.74%,3.72%,537,1039
431711,Vila-seca,18.57%,69.21%,12.46%,0.86%,12.71%,0.43%,4.34%,3274,17634
431726,Vilaverd,54.29%,89.04%,2.19%,0.44%,5.26%,1.32%,1.75%,228,420
431732,Vilella Alta. la,68.47%,92.11%,0.00%,3.95%,1.32%,1.32%,1.32%,76,111
431747,Vilella Baixa. la,63.84%,92.04%,1.77%,0.88%,1.77%,0.00%,3.54%,113,177
431750,Vilalba dels Arcs,48.89%,84.79%,5.18%,1.29%,1.94%,0.00%,6.80%,309,632
431763,Vimbodí i Poblet,69.19%,91.81%,4.27%,1.37%,0.34%,1.19%,1.02%,586,847
431779,Vinebre,52.93%,87.56%,5.99%,2.30%,0.46%,0.92%,2.76%,217,410
431785,Vinyols i els Arcs,36.36%,82.39%,7.69%,1.37%,2.91%,0.68%,4.96%,585,1609
439018,Deltebre,44.57%,88.31%,3.90%,1.69%,2.57%,0.86%,2.68%,4559,10228
439023,Sant Jaume d'Enveja,41.50%,84.26%,4.37%,2.54%,3.42%,0.87%,4.53%,1258,3031
439039,Camarles,41.65%,88.97%,3.94%,1.10%,2.29%,0.47%,3.23%,1269,3047
439044,Aldea. l',41.05%,79.18%,5.64%,1.43%,4.15%,1.56%,8.04%,1542,3756
439057,Salou,16.19%,73.65%,11.04%,1.02%,8.75%,0.44%,5.09%,3613,22317
439060,Ampolla. l',33.74%,88.11%,3.65%,1.59%,3.09%,1.03%,2.53%,1068,3165
439076,Canonja. la,23.21%,69.57%,10.92%,1.02%,9.16%,0.46%,8.88%,1081,4658
